,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
98,Living in America,Living In America,James Brown,20-02-95,248533,39,0.714,0.00121,0.714,0.907,0.000346,0.216,-4.687,0.0412,114.122,4
99,She's The One,Motherlode,James Brown,01-01-03,172840,21,0.745,0.0154,0.745,0.739,0.00502,0.0472,-5.355,0.0911,114.283,4
100,I'm Coming Out,Diana,Diana Ross,22-05-80,325266,67,0.739,0.177,0.739,0.917,0.119,0.0834,-4.459,0.0504,110.163,4
101,Upside Down,Diana,Diana Ross,22-05-80,244826,67,0.887,0.079,0.887,0.904,0.0101,0.0165,-5.107,0.0703,107.955,4
102,Chain Reaction,Eaten Alive,Diana Ross,24-09-85,230533,60,0.794,0.155,0.794,0.55,0.000271,0.113,-12.988,0.0367,127.736,4
103,You Are Everything,Diana & Marvin,Diana Ross,26-10-73,190440,59,0.521,0.0306,0.521,0.525,2.20E-05,0.145,-9.581,0.0463,150.392,4
104,Ain't No Mountain High Enough,The Motown Anthology,Diana Ross,01-01-01,211760,51,0.292,0.344,0.292,0.767,0.000502,0.105,-6.739,0.0505,201.171,4
105,It's My House,The Boss,Diana Ross,23-05-79,274560,57,0.762,0.29,0.762,0.67,6.42E-06,0.0783,-5.862,0.0717,99.473,4
106,The Boss,The Boss,Diana Ross,23-05-79,241333,55,0.639,0.235,0.639,0.905,4.93E-05,0.206,-4.215,0.0543,123.66,4
107,"Stop, Look, Listen (To Your Heart)",Diana & Marvin,Diana Ross,26-10-73,177786,54,0.592,0.319,0.592,0.383,0,0.231,-10.929,0.0276,83.421,4
108,Theme From Mahogany (Do You Know Where You're Going To) - Single Version,Diana Ross,Diana Ross,10-02-76,202360,54,0.334,0.835,0.334,0.306,0.0275,0.128,-15.169,0.0332,139.552,4
109,Have Fun (Again),Diana,Diana Ross,22-05-80,357093,27,0.92,0.197,0.92,0.7,0.000665,0.13,-5.853,0.0811,125.049,4
110,"You're The First, The Last, My Everything - Edit",Barry White - The Collection,Barry White,12-09-88,206936,47,0.633,0.000679,0.633,0.542,0.00434,0.0754,-12.318,0.0316,130.314,4
111,"Can't Get Enough Of Your Love, Babe",Can't Get Enough,Barry White,15-02-74,274000,68,0.729,0.114,0.729,0.78,0.106,0.0759,-7.604,0.0631,111.833,4
112,Just The Way You Are,Barry White - The Collection,Barry White,12-09-88,289106,66,0.564,0.166,0.564,0.327,3.45E-05,0.149,-14.63,0.0494,74.948,4
113,Let The Music Play - Single Version,Let The Music Play (Expanded Edition),Barry White,02-01-76,210386,62,0.537,0.0149,0.537,0.812,0,0.153,-6.257,0.0472,99.323,4
114,"Can't Get Enough Of Your Love, Babe",Barry White - The Collection,Barry White,12-09-88,242573,60,0.771,0.175,0.771,0.659,0.0356,0.179,-12.311,0.0688,110.698,4
115,I'm Gonna Love You Just A Little More Baby,I've Got So Much To Give,Barry White,01-01-73,431506,58,0.606,0.0111,0.606,0.486,0.00145,0.0757,-13.553,0.041,87.567,4
116,"Never, Never Gonna Give Ya Up",Barry White's Greatest Hits,Barry White,03-03-75,290666,52,0.615,0.0823,0.615,0.804,0,0.085,-11.04,0.0752,85.164,4
117,"You're The First, The Last, My Everything",Can't Get Enough,Barry White,15-02-74,276466,53,0.678,0.00389,0.678,0.571,0.0862,0.183,-9.51,0.0353,130.285,4
118,You See The Trouble With Me,Let The Music Play,Barry White,02-01-76,209906,53,0.666,4.53E-05,0.666,0.583,0.286,0.0772,-13.698,0.0284,114.851,4
119,What Am I Gonna Do With You,Just Another Way To Say I Love You,Barry White,25-03-75,219440,51,0.625,0.0246,0.625,0.869,0.0626,0.093,-9.467,0.0293,114.223,4
120,"Let No Man Put Asunder - Shep Pettibone 12"" Mix",Delusions (Bonus Version),First Choice,01-01-77,481506,35,0.691,0.0104,0.691,0.843,0.000786,0.594,-6.795,0.0815,120.901,4
121,Dr. Love,Salsoul Classics Vol. 1,First Choice,1976,456493,35,0.558,0.0121,0.558,0.731,0.00574,0.271,-8.416,0.0346,118.798,4
122,"Let No Man Put Asunder - Frankie Knuckles 12"" Remix",Delusions (Bonus Version),First Choice,01-01-77,458320,26,0.512,0.00175,0.512,0.833,0,0.108,-7.254,0.069,120.257,4
123,I Can Show You (Better Than I Can Tell You) - Phonk D Edit,I Can Show You (Better Than I Can Tell You) [Phonk D Edit],First Choice,27-07-18,379687,24,0.843,0.0011,0.843,0.635,0.0417,0.638,-8.982,0.105,122.992,4
124,Armed and Extremely Dangerous,"Philly Groove Records Presents: The Early Years, Vol. 1",First Choice,28-10-14,171000,20,0.623,0.0184,0.623,0.691,7.64E-05,0.416,-13.879,0.0473,123.284,4
